Key,Value,Element,Group,Description,Count
amenity,waste_basket,node,amenity,A single small container for depositing garbage that is easily accessible for pedestrians.,104302 6 15 0
amenity,waste_disposal,node,,"A medium or large disposal bin, typically for bagged up household or industrial waste.",3270 0 858 0
amenity,waste_transfer_station,node area,,"A waste transfer station is a location that accepts, consolidates and transfers waste in bulk.",21 0 62 0
amenity,animal_boarding,node area,,"A facility where you, paying a fee, can bring your animal for a limited period of time (e.g. for holidays)",145 0 102 0
amenity,animal_breeding,node area relation,,"A facility where animals are bred, usually to sell them",107 0 142 0
amenity,animal_shelter,node area,,A shelter that recovers animals in trouble,125 0 408 0
amenity,baking_oven,node,,"An oven used for baking bread and similar, for example inside a building=bakehouse.",34 0 31 0
amenity,childcare,node area,,A place where children of different ages are looked after which is not an amenity=kindergarten or preschool.,1018 0 1330 0
amenity,clock,node,amenity,A public visible clock,5782 1 32 0
amenity,crematorium,node area,,A place where dead human bodies are burnt,22 0 79 0
amenity,dive_centre,node area,,A dive center is the base location where sports divers usually start scuba diving or make dive guided trips at new locations.,31 0 25 0
amenity,funeral_hall,node area,amenity,"A place for holding a funeral ceremony, other than a place of worship.",1 0 147 0
amenity,grave_yard,node area,amenity,"A (smaller) place of burial, often you'll find a church nearby. Large places should be landuse=cemetery instead.",925 7 6756 0
amenity,hunting_stand,node area,amenity,A hunting stand: an open or enclosed platform used by hunters to place themselves at an elevated height above the terrain,98770 2 66 0
amenity,internet_cafe,node area,,A place whose principal role is providing internet services to the public.,198 0 8 0
amenity,kitchen,node area,,A public kitchen in a facility to use by everyone or customers,10 0 2 0
amenity,kneipp_water_cure,node area,amenity,Outdoor foot bath facility. Usually this is a pool with cold water and handrail. Popular in German speaking countries.,636 6 945 0
amenity,lounger,node,amenity,An object for people to lie down.,255 0 0 0
amenity,marketplace,way area,,A marketplace where goods and services are traded daily or weekly.,1216 4 614 0
amenity,monastery,node area,,Monastery is the location of a monastery or a building in which monks and nuns live.,33 2 254 0
amenity,photo_booth,node,,Photo Booth -- A stand to create instant photo.,299 0 6 0
amenity,place_of_mourning,node area,,"A room or building where families and friends can come, before the funeral, and view the body of the person who has died.",0 0 0 0
amenity,place_of_worship,node area,amenity,"A church, mosque, or temple, etc. Note that you also need religion=*, usually denomination=* and preferably name=* as well as amenity=place_of_worship. See the article for details.",12600 6 54876 0
amenity,public_bath,node area,,"A location where the public may bathe in common, etc. japanese onsen, turkish bath, hot spring",50 0 84 0
amenity,refugee_site,node area,,A human settlement sheltering refugees or internally displaced persons,0 0 3 0
amenity,vending_machine,node,,"A machine selling goods -- food, tickets, newspapers, etc. Add type of goods using vending=*",66598 2 97 0
amenity,user defined,node way area,,/All commonly used values/ according to Taginfo//,0 0 0 0
barrier,cable_barrier,way,,A road side or median barrier made of steel wire ropes mounted on weak posts.,9 21 0 0
barrier,city_wall,way area,,A fortification used to defend settlements in ancient to modern times.,6 3567 249 0
barrier,ditch,way,barrier,A man made ditch or trench to prevent access to the other side.,54 5442 49 0
barrier,fence,way,barrier,"A freestanding structure designed to restrict or prevent movement across a boundary, generally distinguished from a wall by the lightness of its construction.",1513 259220 34258 4
barrier,guard_rail,way,,"A rail, typically metal, designed to keep vehicles within their roadway and prevent dangerous collisions",71 11227 27 0
barrier,handrail,way,,A rail designed to be grasped by the hand so as to provide stability or support.,14 2718 7 0
barrier,hedge,way area,hedge,"A line of closely spaced shrubs and tree species, which form a barrier or mark the boundary of an area.",86 234703 5040 4
barrier,kerb,node way,,"A stone edging to a pavement or raised path (right side is bottom, left side is top).",3318 5517 1563 0
barrier,retaining_wall,way,,"A structure that holds back soil or rock from a building, structure or area.",13 27285 283 15
barrier,wall,way area,barrier,"A freestanding structure, designed to restrict or prevent movement across a boundary, typically made from solid brick, concrete or rocks, and almost always built so that it is opaque to vision.",156 126444 3440 17
barrier,block,node,,One or more large immobile block(s) usually barring free access along a way.,13445 612 29 0
barrier,bollard,node way,,One or more solid (usually concrete or metal) pillar(s) used to control traffic.,143463 2950 10 0
barrier,border_control,node,,A control point at an international border between two countries.,192 0 1 0
barrier,bump_gate,node,,A drive-through gate used in rural areas to provide a barrier to livestock that does not require the driver to exit the vehicle.,542 6 0 0
barrier,bus_trap,node,,A short section of the roadway where there is a deep dip in the middle to prevent passage by some traffic.,52 1 0 0
barrier,cattle_grid,node,,A hole in the road surface covered in a series of bars that allow wheeled vehicles but not animals to cross.,1579 10 1 0
barrier,chain,node way,,A chain used to prevent motorised vehicles.,1421 716 10 0
barrier,cycle_barrier,node,,A barrier along a path that slows or prevents access for bicycle users.,32862 60 0 0
barrier,debris,node,,Debris blocking a road,273 49 4 0
barrier,entrance,node,,An opening or gap in a barrier.,8777 84 32 0
barrier,full-height_turnstile,node way,,A full-height turnstile.,588 8 0 0
barrier,gate,node way,gate,A section in a wall or fence which can be opened to allow access.,266489 6482 40 5
barrier,hampshire_gate,node,,A section of wire fence which can be removed temporarily.,467 14 1 0
barrier,height_restrictor,node,,A height restrictor which prevents access of vehicles higher than a set limit.,404 12 0 0
